k, params.Evap, params.Alpha, params.Beta, maxIter, nodes, minCost, maxCost, SC[bs], bestSolnThroughout, parallelP, msec
20, 0.100000, 1.000000, 3.000000, 200, 10, 10, 100, 248.000000, 248.000000, 0, 188
20, 0.100000, 1.000000, 3.000000, 200, 10, 10, 100, 213.000000, 213.000000, 0, 188
20, 0.100000, 1.000000, 3.000000, 200, 10, 10, 100, 325.000000, 260.000000, 0, 188
20, 0.100000, 1.000000, 3.000000, 200, 10, 10, 100, 340.000000, 286.000000, 0, 179
20, 0.100000, 1.000000, 3.000000, 200, 10, 10, 100, 219.000000, 219.000000, 0, 189
20, 0.100000, 1.000000, 3.000000, 200, 15, 10, 100, 325.000000, 325.000000, 0, 412
20, 0.100000, 1.000000, 3.000000, 200, 15, 10, 100, 523.000000, 437.000000, 0, 408
20, 0.100000, 1.000000, 3.000000, 200, 15, 10, 100, 335.000000, 335.000000, 0, 426
20, 0.100000, 1.000000, 3.000000, 200, 15, 10, 100, 336.000000, 336.000000, 0, 373
20, 0.100000, 1.000000, 3.000000, 200, 15, 10, 100, 322.000000, 322.000000, 0, 414
20, 0.100000, 1.000000, 3.000000, 200, 20, 10, 100, 598.000000, 596.000000, 0, 748
20, 0.100000, 1.000000, 3.000000, 200, 20, 10, 100, 475.000000, 451.000000, 0, 706
20, 0.100000, 1.000000, 3.000000, 200, 20, 10, 100, 564.000000, 547.000000, 0, 751
20, 0.100000, 1.000000, 3.000000, 200, 20, 10, 100, 536.000000, 536.000000, 0, 724
20, 0.100000, 1.000000, 3.000000, 200, 20, 10, 100, 385.000000, 385.000000, 0, 746
20, 0.100000, 1.000000, 3.000000, 200, 25, 10, 100, 626.000000, 615.000000, 0, 1115
20, 0.100000, 1.000000, 3.000000, 200, 25, 10, 100, 485.000000, 485.000000, 0, 1042
20, 0.100000, 1.000000, 3.000000, 200, 25, 10, 100, 611.000000, 611.000000, 0, 1175
20, 0.100000, 1.000000, 3.000000, 200, 25, 10, 100, 611.000000, 562.000000, 0, 1062
20, 0.100000, 1.000000, 3.000000, 200, 25, 10, 100, 528.000000, 504.000000, 0, 1164
20, 0.100000, 1.000000, 3.000000, 200, 30, 10, 100, 771.000000, 724.000000, 0, 1651
20, 0.100000, 1.000000, 3.000000, 200, 30, 10, 100, 684.000000, 684.000000, 0, 1631
20, 0.100000, 1.000000, 3.000000, 200, 30, 10, 100, 704.000000, 678.000000, 0, 1665
20, 0.100000, 1.000000, 3.000000, 200, 30, 10, 100, 721.000000, 640.000000, 0, 1624
20, 0.100000, 1.000000, 3.000000, 200, 30, 10, 100, 758.000000, 729.000000, 0, 1586
20, 0.100000, 1.000000, 3.000000, 200, 35, 10, 100, 845.000000, 799.000000, 0, 2232
