k, params.Evap, params.Alpha, params.Beta, maxIter, nodes, minCost, maxCost, SC[bs], bestSolnThroughout, parallelP, msec
30, 0.100000, 1.000000, 3.000000, 300, 10, 10, 100, 236.000000, 236.000000, 1, 378
30, 0.100000, 1.000000, 3.000000, 300, 10, 10, 100, 239.000000, 239.000000, 1, 366
30, 0.100000, 1.000000, 3.000000, 300, 10, 10, 100, 180.000000, 180.000000, 1, 349
30, 0.100000, 1.000000, 3.000000, 300, 10, 10, 100, 264.000000, 227.000000, 1, 353
30, 0.100000, 1.000000, 3.000000, 300, 10, 10, 100, 238.000000, 235.000000, 1, 352
30, 0.100000, 1.000000, 3.000000, 300, 15, 10, 100, 342.000000, 323.000000, 1, 730
30, 0.100000, 1.000000, 3.000000, 300, 15, 10, 100, 422.000000, 414.000000, 1, 732
30, 0.100000, 1.000000, 3.000000, 300, 15, 10, 100, 324.000000, 324.000000, 1, 700
30, 0.100000, 1.000000, 3.000000, 300, 15, 10, 100, 306.000000, 306.000000, 1, 716
30, 0.100000, 1.000000, 3.000000, 300, 15, 10, 100, 334.000000, 293.000000, 1, 698
30, 0.100000, 1.000000, 3.000000, 300, 20, 10, 100, 600.000000, 584.000000, 1, 1185
30, 0.100000, 1.000000, 3.000000, 300, 20, 10, 100, 615.000000, 541.000000, 1, 1160
30, 0.100000, 1.000000, 3.000000, 300, 20, 10, 100, 451.000000, 451.000000, 1, 1157
30, 0.100000, 1.000000, 3.000000, 300, 20, 10, 100, 538.000000, 508.000000, 1, 1168
30, 0.100000, 1.000000, 3.000000, 300, 20, 10, 100, 451.000000, 445.000000, 1, 1214
30, 0.100000, 1.000000, 3.000000, 300, 25, 10, 100, 517.000000, 515.000000, 1, 1765
30, 0.100000, 1.000000, 3.000000, 300, 25, 10, 100, 718.000000, 656.000000, 1, 1769
30, 0.100000, 1.000000, 3.000000, 300, 25, 10, 100, 622.000000, 578.000000, 1, 1840
30, 0.100000, 1.000000, 3.000000, 300, 25, 10, 100, 454.000000, 454.000000, 1, 1818
30, 0.100000, 1.000000, 3.000000, 300, 25, 10, 100, 570.000000, 570.000000, 1, 1817
30, 0.100000, 1.000000, 3.000000, 300, 30, 10, 100, 698.000000, 656.000000, 1, 2517
30, 0.100000, 1.000000, 3.000000, 300, 30, 10, 100, 632.000000, 627.000000, 1, 2517
30, 0.100000, 1.000000, 3.000000, 300, 30, 10, 100, 587.000000, 564.000000, 1, 2538
30, 0.100000, 1.000000, 3.000000, 300, 30, 10, 100, 659.000000, 532.000000, 1, 2616
30, 0.100000, 1.000000, 3.000000, 300, 30, 10, 100, 612.000000, 587.000000, 1, 2570
30, 0.100000, 1.000000, 3.000000, 300, 35, 10, 100, 778.000000, 774.000000, 1, 3342
30, 0.100000, 1.000000, 3.000000, 300, 35, 10, 100, 700.000000, 699.000000, 1, 3335
30, 0.100000, 1.000000, 3.000000, 300, 35, 10, 100, 809.000000, 736.000000, 1, 3332
30, 0.100000, 1.000000, 3.000000, 300, 35, 10, 100, 809.000000, 677.000000, 1, 3278
30, 0.100000, 1.000000, 3.000000, 300, 35, 10, 100, 686.000000, 664.000000, 1, 3358
30, 0.100000, 1.000000, 3.000000, 300, 40, 10, 100, 897.000000, 806.000000, 1, 4257
30, 0.100000, 1.000000, 3.000000, 300, 40, 10, 100, 796.000000, 796.000000, 1, 4246
30, 0.100000, 1.000000, 3.000000, 300, 40, 10, 100, 813.000000, 777.000000, 1, 4322
30, 0.100000, 1.000000, 3.000000, 300, 40, 10, 100, 708.000000, 695.000000, 1, 4347
30, 0.100000, 1.000000, 3.000000, 300, 40, 10, 100, 918.000000, 806.000000, 1, 4339
30, 0.100000, 1.000000, 3.000000, 300, 45, 10, 100, 869.000000, 810.000000, 1, 4976
30, 0.100000, 1.000000, 3.000000, 300, 45, 10, 100, 1037.000000, 946.000000, 1, 5373
30, 0.100000, 1.000000, 3.000000, 300, 45, 10, 100, 879.000000, 877.000000, 1, 5365
