k, params.Evap, params.Alpha, params.Beta, maxIter, nodes, minCost, maxCost, SC[bs], bestSolnThroughout, parallelP, msec
30, 0.100000, 1.000000, 3.000000, 300, 10, 10, 100, 252.000000, 242.000000, 0, 283
30, 0.100000, 1.000000, 3.000000, 300, 10, 10, 100, 271.000000, 187.000000, 0, 283
30, 0.100000, 1.000000, 3.000000, 300, 10, 10, 100, 296.000000, 296.000000, 0, 283
30, 0.100000, 1.000000, 3.000000, 300, 10, 10, 100, 328.000000, 299.000000, 0, 283
30, 0.100000, 1.000000, 3.000000, 300, 10, 10, 100, 390.000000, 332.000000, 0, 284
30, 0.100000, 1.000000, 3.000000, 300, 15, 10, 100, 299.000000, 293.000000, 0, 585
30, 0.100000, 1.000000, 3.000000, 300, 15, 10, 100, 380.000000, 318.000000, 0, 593
30, 0.100000, 1.000000, 3.000000, 300, 15, 10, 100, 379.000000, 361.000000, 0, 628
30, 0.100000, 1.000000, 3.000000, 300, 15, 10, 100, 379.000000, 379.000000, 0, 584
30, 0.100000, 1.000000, 3.000000, 300, 15, 10, 100, 323.000000, 323.000000, 0, 641
30, 0.100000, 1.000000, 3.000000, 300, 20, 10, 100, 498.000000, 498.000000, 0, 1055
30, 0.100000, 1.000000, 3.000000, 300, 20, 10, 100, 440.000000, 440.000000, 0, 1091
30, 0.100000, 1.000000, 3.000000, 300, 20, 10, 100, 466.000000, 466.000000, 0, 1086
30, 0.100000, 1.000000, 3.000000, 300, 20, 10, 100, 518.000000, 459.000000, 0, 1098
30, 0.100000, 1.000000, 3.000000, 300, 20, 10, 100, 433.000000, 433.000000, 0, 1118
30, 0.100000, 1.000000, 3.000000, 300, 25, 10, 100, 488.000000, 473.000000, 0, 1741
30, 0.100000, 1.000000, 3.000000, 300, 25, 10, 100, 586.000000, 582.000000, 0, 1671
30, 0.100000, 1.000000, 3.000000, 300, 25, 10, 100, 656.000000, 628.000000, 0, 1725
30, 0.100000, 1.000000, 3.000000, 300, 25, 10, 100, 429.000000, 429.000000, 0, 1811
30, 0.100000, 1.000000, 3.000000, 300, 25, 10, 100, 605.000000, 530.000000, 0, 1750
30, 0.100000, 1.000000, 3.000000, 300, 30, 10, 100, 657.000000, 634.000000, 0, 2520
30, 0.100000, 1.000000, 3.000000, 300, 30, 10, 100, 685.000000, 679.000000, 0, 2490
30, 0.100000, 1.000000, 3.000000, 300, 30, 10, 100, 718.000000, 619.000000, 0, 2498
30, 0.100000, 1.000000, 3.000000, 300, 30, 10, 100, 735.000000, 620.000000, 0, 2472
30, 0.100000, 1.000000, 3.000000, 300, 30, 10, 100, 635.000000, 635.000000, 0, 2488
30, 0.100000, 1.000000, 3.000000, 300, 35, 10, 100, 884.000000, 873.000000, 0, 3448
30, 0.100000, 1.000000, 3.000000, 300, 35, 10, 100, 812.000000, 798.000000, 0, 3288
30, 0.100000, 1.000000, 3.000000, 300, 35, 10, 100, 667.000000, 667.000000, 0, 3455
30, 0.100000, 1.000000, 3.000000, 300, 35, 10, 100, 880.000000, 812.000000, 0, 3310
30, 0.100000, 1.000000, 3.000000, 300, 35, 10, 100, 628.000000, 615.000000, 0, 3298
30, 0.100000, 1.000000, 3.000000, 300, 40, 10, 100, 846.000000, 823.000000, 0, 4562
30, 0.100000, 1.000000, 3.000000, 300, 40, 10, 100, 957.000000, 812.000000, 0, 4568
30, 0.100000, 1.000000, 3.000000, 300, 40, 10, 100, 799.000000, 772.000000, 0, 4579
30, 0.100000, 1.000000, 3.000000, 300, 40, 10, 100, 804.000000, 769.000000, 0, 4366
30, 0.100000, 1.000000, 3.000000, 300, 40, 10, 100, 780.000000, 766.000000, 0, 4280
30, 0.100000, 1.000000, 3.000000, 300, 45, 10, 100, 1016.000000, 876.000000, 0, 5565
30, 0.100000, 1.000000, 3.000000, 300, 45, 10, 100, 926.000000, 926.000000, 0, 5481
30, 0.100000, 1.000000, 3.000000, 300, 45, 10, 100, 865.000000, 865.000000, 0, 5677
30, 0.100000, 1.000000, 3.000000, 300, 45, 10, 100, 943.000000, 903.000000, 0, 5556
30, 0.100000, 1.000000, 3.000000, 300, 45, 10, 100, 822.000000, 822.000000, 0, 5710
30, 0.100000, 1.000000, 3.000000, 300, 50, 10, 100, 1110.000000, 1027.000000, 0, 6973
30, 0.100000, 1.000000, 3.000000, 300, 50, 10, 100, 874.000000, 874.000000, 0, 7131
30, 0.100000, 1.000000, 3.000000, 300, 50, 10, 100, 925.000000, 875.000000, 0, 7116
